
Dies[A,A,E,E,G,N,][A,B,B,J,O,O,][A,C,H,O,P,S,][A,F,F,K,P,S,][A,O,O,T,T,W,][C,I,M,O,T,U,][D,E,I,L,R,X,][D,E,L,R,V,Y,][D,I,S,T,T,Y,][E,E,G,H,N,W,][E,E,I,N,S,U,][E,H,R,T,V,W,][E,I,O,S,S,T,][E,L,R,T,T,Y,][H,I,M,N,U,Qu,][H,L,N,N,R,Z,]
board:B W E T E E L S N O V E W F O X 	n_words 112 	avg 1.12e+02 	std 0.0 	min 112 	max 112 	N 1	words:['bee', 'bees', 'beet', 'beetle', 'bel', 'below', 'belt', 'ben', 'bene', 'bevel', 'eel', 'eleven', 'elevon', 'els', 'else', 'enol', 'enow', 'eon', 'eve', 'even', 'ewe', 'foe', 'fon', 'fool', 'fools', 'foveole', 'foveolet', 'fox', 'leben', 'lee', 'leet', 'leno', 'leone', 'let', 'lev', 'levee', 'levo', 'lex', 'lone', 'loo', 'loof', 'love', 'loves', 'low', 'lown', 'neb', 'nee', 'neve', 'new', 'newel', 'noel', 'noo', 'novel', 'now', 'oes', 'ole', 'oleo', 'one', 'oven', 'own', 'see', 'seel', 'sel', 'set', 'seven', 'sew', 'sex', 'sleet', 'sleeve', 'slew', 'sloe', 'sloven', 'slow', 'steel', 'steeve', 'stele', 'stew', 'svelte', 'tee', 'teel', 'teen', 'tel', 'tele', 'teles', 'telex', 'tels', 'tew', 'vee', 'vest', 'vestee', 'vex', 'voe', 'vole', 'volt', 'volte', 'vow', 'web', 'wee', 'ween', 'wees', 'weet', 'welt', 'welts', 'wen', 'west', 'wet', 'woe', 'won', 'woo', 'woof', 'wove', 'woven']
board:B L R V O R T T U F E A N U H E 	n_words 85 	avg 83.0 	std 37.0 	min 32 	max 153 	N 12	words:['aero', 'ate', 'att', 'bolt', 'bolter', 'bore', 'bort', 'bree', 'bro', 'brr', 'eat', 'eater', 'eft', 'err', 'eta', 'feat', 'fee', 'feh', 'fer', 'fet', 'feta', 'feu', 'fob', 'for', 'forb', 'fore', 'fort', 'forte', 'fou', 'four', 'free', 'fret', 'fro', 'fun', 'fur', 'furl', 'hae', 'haet', 'hat', 'hate', 'hater', 'hatter', 'heat', 'heater', 'heft', 'her', 'herb', 'herl', 'hero', 'het', 'hue', 'hun', 'lob', 'loft', 'lofter', 'lore', 'lour', 'nurl', 'oft', 'orb', 'ore', 'ort', 'our', 'ree', 'ref', 'reheat', 'ret', 'rob', 'run', 'tae', 'tat', 'tate', 'tater', 'tea', 'teat', 'tee', 'tet', 'treat', 'tree', 'tref', 'tret', 'unfree', 'unfurl', 'urb', 'urea']
board:Y A E E I O H I H I G E O N O S 	n_words 44 	avg 80.0 	std 37.0 	min 32 	max 153 	N 13	words:['ego', 'eon', 'ghee', 'ghi', 'gie', 'gin', 'goa', 'goy', 'hae', 'hao', 'hay', 'hes', 'hie', 'high', 'hin', 'hinge', 'hoe', 'hog', 'hognose', 'hogs', 'hon', 'hong', 'hoy', 'hoya', 'ion', 'nigh', 'noes', 'nog', 'noh', 'nos', 'nose', 'oes', 'ohia', 'ose', 'seg', 'segno', 'sego', 'sei', 'son', 'song', 'yah', 'yogh', 'yogi', 'yogin']
board:H T S S W D N Y A Z T E O P E Y 	n_words 51 	avg 77.9 	std 36.5 	min 32 	max 153 	N 14	words:['ads', 'adz', 'adze', 'ape', 'apt', 'azo', 'dap', 'daw', 'dawt', 'daze', 'end', 'ens', 'eye', 'nee', 'neep', 'net', 'ope', 'opt', 'pad', 'pads', 'paw', 'pee', 'peen', 'pet', 'snye', 'syn', 'syne', 'synth', 'tee', 'teen', 'teens', 'teeny', 'ten', 'tend', 'tens', 'tent', 'tenth', 'tepa', 'twa', 'tye', 'tyee', 'tyne', 'wad', 'wads', 'wap', 'yen', 'yente', 'yet', 'zap', 'zee', 'zoa']
board:D H A T T A T R M A R T K U O T 	n_words 80 	avg 78.1 	std 35.2 	min 32 	max 153 	N 15	words:['aah', 'ama', 'amah', 'amu', 'aorta', 'arak', 'art', 'arum', 'atma', 'att', 'attar', 'auk', 'aura', 'dah', 'dam', 'damar', 'dart', 'data', 'datto', 'haar', 'had', 'ham', 'hart', 'hat', 'karat', 'kart', 'kat', 'kata', 'kurta', 'maar', 'mad', 'mar', 'mart', 'mat', 'math', 'matt', 'mura', 'murr', 'murra', 'oak', 'oakum', 'oar', 'oat', 'oath', 'ora', 'ort', 'ottar', 'our', 'rad', 'ram', 'rat', 'ratatat', 'rath', 'roam', 'rot', 'rum', 'tad', 'tam', 'tao', 'tar', 'taro', 'tarot', 'tart', 'tartar', 'tat', 'tatar', 'tau', 'that', 'tor', 'tora', 'torah', 'torr', 'tort', 'tot', 'tour', 'trad', 'tram', 'trauma', 'troak', 'trot']
board:A T U L I N T H V Qu O H S G N R 	n_words 66 	avg 77.3 	std 34.2 	min 32 	max 153 	N 16	words:['ain', 'ait', 'ani', 'anon', 'ant', 'anti', 'att', 'attorn', 'gor', 'got', 'hog', 'hogs', 'hon', 'hong', 'horn', 'hot', 'hun', 'hunt', 'hut', 'into', 'luna', 'lunt', 'nit', 'nog', 'noh', 'nona', 'nor', 'not', 'nut', 'quin', 'quint', 'quinta', 'quit', 'quittor', 'quoth', 'rho', 'rot', 'rotl', 'squint', 'tain', 'taint', 'tan', 'tho', 'thong', 'thorn', 'thro', 'throng', 'tin', 'tint', 'tog', 'ton', 'tong', 'tor', 'torn', 'tun', 'tuna', 'tut', 'tutor', 'unai', 'unit', 'unto', 'uta', 'via', 'vina', 'vino', 'vita']
board:E U T D E O F Y N S T A C B T N 	n_words 62 	avg 76.4 	std 33.4 	min 32 	max 153 	N 17	words:['aft', 'ant', 'ants', 'atone', 'att', 'ens', 'eon', 'fan', 'fat', 'fats', 'fatso', 'fay', 'foe', 'fon', 'fou', 'futon', 'nay', 'nee', 'nest', 'noes', 'nos', 'nose', 'not', 'nota', 'oes', 'ofay', 'oft', 'one', 'ones', 'ons', 'ose', 'out', 'see', 'sen', 'snot', 'snout', 'sofa', 'soft', 'softa', 'son', 'sone', 'sot', 'sou', 'stat', 'stay', 'stone', 'stout', 'sty', 'tan', 'tat', 'toe', 'toes', 'toft', 'tofu', 'ton', 'tone', 'tons', 'tost', 'tot', 'tout', 'tufa', 'tuft']
board:A O U V W A I F R T E T Y U I O 	n_words 64 	avg 75.7 	std 32.6 	min 32 	max 153 	N 18	words:['ait', 'art', 'ate', 'awa', 'await', 'ear', 'eat', 'eau', 'eft', 'eta', 'etui', 'fear', 'feat', 'fet', 'feta', 'feu', 'fiar', 'fiat', 'fie', 'fit', 'oar', 'oat', 'rat', 'rate', 'ratio', 'ratite', 'raw', 'rue', 'rut', 'tae', 'tao', 'tar', 'tau', 'taw', 'tea', 'tear', 'teat', 'tet', 'tetra', 'tie', 'tit', 'titi', 'toe', 'toit', 'trait', 'true', 'try', 'tui', 'twa', 'twae', 'two', 'urate', 'uta', 'via', 'vie', 'vita', 'wae', 'waif', 'wait', 'war', 'wart', 'wat', 'wry', 'yurt']
board:W S K R N A D S M I W I N S E O 	n_words 104 	avg 77.2 	std 32.3 	min 32 	max 153 	N 19	words:['ads', 'aid', 'aim', 'ain', 'ains', 'ais', 'ami', 'amid', 'amids', 'amie', 'amin', 'amis', 'ani', 'anis', 'anise', 'ask', 'awe', 'awes', 'awn', 'dais', 'dak', 'dam', 'damn', 'dams', 'daw', 'dawn', 'daws', 'die', 'dies', 'dim', 'din', 'dis', 'disk', 'diwan', 'ins', 'ism', 'kadi', 'kain', 'kami', 'kamsin', 'kas', 'mad', 'maid', 'maids', 'main', 'mains', 'man', 'mans', 'mas', 'mask', 'maw', 'mid', 'midi', 'mids', 'mina', 'mis', 'mise', 'nam', 'naw', 'nidi', 'nim', 'nisei', 'oes', 'owe', 'owse', 'sad', 'sadi', 'sadis', 'sadism', 'said', 'sain', 'saw', 'sawn', 'sei', 'seis', 'sew', 'sewan', 'sim', 'sima', 'sin', 'sins', 'ska', 'snaw', 'swain', 'swam', 'swami', 'swan', 'swans', 'swim', 'swims', 'wad', 'wadi', 'wads', 'wain', 'wains', 'wan', 'was', 'waw', 'win', 'wins', 'wis', 'wise', 'woe', 'woes']
board:P I A N H D X R U O W T F O N H 	n_words 56 	avg 76.2 	std 31.9 	min 32 	max 153 	N 20	words:['ado', 'aid', 'art', 'axon', 'darn', 'dart', 'dhow', 'dip', 'don', 'dow', 'down', 'duo', 'foh', 'fon', 'font', 'food', 'fou', 'fox', 'fud', 'hid', 'hip', 'hod', 'hon', 'hoof', 'how', 'nod', 'nodi', 'noh', 'noo', 'now', 'nowt', 'ohia', 'ooh', 'oud', 'own', 'oxid', 'phi', 'phon', 'phono', 'pia', 'pian', 'pix', 'rad', 'radix', 'radon', 'raid', 'ran', 'rax', 'trad', 'two', 'udo', 'won', 'wont', 'woo', 'wood', 'woof']
board:T J A X E Y S E O E R Z U T I I 	n_words 75 	avg 76.1 	std 31.1 	min 32 	max 153 	N 21	words:['aerie', 'aeries', 'axe', 'aye', 'ease', 'easy', 'ere', 'ers', 'exsert', 'eyas', 'eye', 'eyer', 'eyes', 'eyre', 'eyrie', 'ire', 'jay', 'jee', 'jeer', 'jet', 'oes', 'out', 'outer', 'outre', 'oyer', 'oyes', 'ree', 'rei', 'res', 'resay', 'resee', 'reset', 'ret', 'rex', 'rite', 'rya', 'rye', 'ryot', 'sax', 'say', 'sayer', 'sea', 'see', 'sei', 'seize', 'seizer', 'ser', 'sere', 'set', 'sex', 'sri', 'tee', 'terse', 'tie', 'tier', 'tire', 'tires', 'toe', 'toes', 'toy', 'toyer', 'toys', 'tree', 'trey', 'try', 'tye', 'tyee', 'tyer', 'tyre', 'uteri', 'yes', 'yet', 'yeti', 'you', 'zit']
board:J T F E N E I S H R U W Y P A D 	n_words 135 	avg 78.8 	std 32.8 	min 32 	max 153 	N 22	words:['are', 'arise', 'auris', 'dap', 'daphne', 'dare', 'darn', 'daw', 'daws', 'due', 'duet', 'dui', 'duit', 'dup', 'dura', 'dure', 'durn', 'eft', 'era', 'ern', 'esurient', 'feh', 'fen', 'fer', 'fern', 'fet', 'feu', 'feuar', 'feud', 'fie', 'fir', 'fire', 'firn', 'fit', 'heft', 'heir', 'hen', 'henry', 'hent', 'her', 'hern', 'het', 'hyp', 'ire', 'jefe', 'jet', 'jeu', 'neif', 'net', 'pad', 'par', 'pare', 'parent', 'pareu', 'paris', 'pause', 'paw', 'prau', 'pries', 'prise', 'pry', 'pud', 'pur', 'pure', 'puri', 'puris', 'pus', 'pyre', 'pyrite', 'rad', 'rap', 'raphe', 'raw', 'ref', 'refit', 'rei', 'reif', 'reis', 'rent', 'ret', 'retie', 'reuse', 'rif', 'rife', 'rift', 'rise', 'rite', 'rue', 'ruse', 'sei', 'seif', 'sieur', 'sift', 'sifter', 'sir', 'sire', 'siren', 'sirup', 'sit', 'site', 'sue', 'suer', 'suet', 'suit', 'suite', 'suiter', 'sup', 'supra', 'sura', 'sure', 'swap', 'swift', 'swifter', 'ten', 'teraph', 'tern', 'tie', 'tier', 'tire', 'tis', 'uprise', 'urn', 'use', 'wad', 'wap', 'war', 'ware', 'warn', 'warp', 'wife', 'wire', 'wis', 'wise', 'wit', 'wite']
board:N H S T T Y E B A N O E R I E D 
Dies[-,A,E,E,G,N,][A,B,B,J,O,O,][A,C,H,O,P,S,][A,F,F,K,P,S,][A,O,O,T,T,W,][C,I,M,O,T,U,][D,E,I,L,R,X,][D,E,L,R,V,Y,][D,I,S,T,T,Y,][E,E,G,H,N,W,][E,E,I,N,S,U,][E,H,R,T,V,W,][E,I,O,S,S,T,][E,L,R,T,T,Y,][H,I,M,N,U,Qu,][H,L,N,N,R,Z,]
board:C L T Y I D E I T A E J S W C I 	n_words 134 	avg 1.34e+02 	std 0.0 	min 134 	max 134 	N 1	words:['ace', 'aced', 'adit', 'aedile', 'aid', 'aide', 'ail', 'ait', 'awe', 'cad', 'cade', 'cadet', 'cadi', 'caid', 'cast', 'cat', 'cats', 'caw', 'cede', 'cedi', 'cee', 'citadel', 'cleat', 'dace', 'daw', 'daws', 'dawt', 'dee', 'deet', 'del', 'deli', 'dew', 'dey', 'dit', 'dita', 'dits', 'east', 'eat', 'edile', 'edit', 'eel', 'eld', 'elide', 'ice', 'idea', 'idle', 'ilea', 'its', 'jee', 'jet', 'jew', 'lea', 'lead', 'leas', 'least', 'led', 'lee', 'lei', 'let', 'ley', 'lid', 'lit', 'sac', 'sad', 'sade', 'sadi', 'said', 'sail', 'sat', 'sati', 'saw', 'stade', 'staid', 'stile', 'stilt', 'stilted', 'swail', 'swat', 'sweat', 'swede', 'sweet', 'tace', 'tad', 'tae', 'tael', 'tail', 'tas', 'taw', 'taws', 'tea', 'teas', 'teat', 'ted', 'tee', 'tel', 'telia', 'telic', 'tic', 'tide', 'tie', 'til', 'tilde', 'tile', 'tilt', 'tsade', 'tsadi', 'twa', 'twae', 'twas', 'twee', 'tweed', 'tweet', 'tye', 'tyee', 'wad', 'wade', 'wadi', 'wae', 'wail', 'wait', 'was', 'wast', 'wat', 'wed', 'wedel', 'wee', 'weed', 'weet', 'yea', 'yeas', 'yeast', 'yet', 'yeti', 'yield']
board:- R T B E F Z M Y L C T H S X S 	n_words 74 	avg 1.04e+02 	std 30.0 	min 74 	max 134 	N 2	words:['clef', 'clef', 'cleft', 'cleft', 'clept', 'clift', 'clot', 'eft', 'eft', 'elf', 'elk', 'ell', 'elm', 'els', 'els', 'fer', 'fet', 'fey', 'fey', 'fez', 'fit', 'fiz', 'fley', 'flit', 'fly', 'fly', 'flyer', 'gel', 'gels', 'gey', 'hey', 'hyp', 'key', 'keys', 'left', 'left', 'leg', 'lei', 'lek', 'lent', 'lept', 'let', 'ley', 'ley', 'leys', 'lez', 'lift', 'lit', 'loft', 'lot', 'lye', 'mel', 'mels', 'oft', 'rec', 'recs', 'ref', 'refly', 'rely', 'rely', 'ret', 'shy', 'shyer', 'shyer', 'slit', 'slot', 'sly', 'slyer', 'syn', 'tref', 'trey', 'trey', 'treys', 'yet']
board:O A F A D Y Y R H R E V E S A O 	n_words 109 	avg 1.06e+02 	std 24.6 	min 74 	max 134 	N 3	words:['adhere', 'adherer', 'ado', 'afar', 'are', 'area', 'arf', 'ars', 'arse', 'arvo', 'ash', 'ave', 'aver', 'avers', 'averse', 'avo', 'aye', 'day', 'dry', 'dryer', 'dye', 'dyer', 'dyes', 'ear', 'ears', 'ease', 'era', 'eras', 'erase', 'eraser', 'ere', 'ers', 'eyra', 'eyre', 'fad', 'fado', 'far', 'fare', 'farer', 'fay', 'fray', 'frere', 'fresh', 'fry', 'fryer', 'her', 'herd', 'here', 'heres', 'hers', 'hes', 'hydra', 'hydras', 'hydrase', 'oaf', 'oar', 'oars', 'oes', 'ova', 'over', 'overdo', 'overs', 'oyer', 'oyes', 'ras', 'rase', 'raser', 'rash', 'rave', 'raver', 'ray', 'raya', 'rear', 'res', 'resh', 'rev', 'rya', 'rye', 'sard', 'save', 'saver', 'sea', 'sear', 'ser', 'sera', 'sere', 'serf', 'servo', 'she', 'sherd', 'shy', 'shyer', 'var', 'vars', 'vary', 'vas', 'vase', 'vera', 'verse', 'voe', 'yar', 'yare', 'yay', 'yea', 'year', 'yeas', 'yes', 'yod', 'yodh']
board:I Y O H S H D O N E Qu O I O A I 	n_words 40 	avg 89.2 	std 35.5 	min 40 	max 134 	N 4	words:['aeon', 'den', 'dens', 'edh', 'ens', 'eon', 'hen', 'hes', 'his', 'hod', 'hood', 'hoy', 'hoyden', 'ins', 'ion', 'noes', 'ode', 'odeon', 'oes', 'one', 'ones', 'ons', 'ooh', 'qua', 'quai', 'quod', 'quoin', 'sea', 'sei', 'sen', 'sequoia', 'she', 'shea', 'shed', 'shod', 'shoo', 'shy', 'sned', 'yod', 'yodh']
